Detector_ID;Band;Column;Field ID;Z1;Z2;Z3;Z4;Z5;Z6;Z7;Z8;Z9;Z10;Z11;Z12;Z13;Z14;Z15;Z16;Z17;Z18;Z19;Z20;Z21;Z22;Z23;Z24;Z25;Z26;Z27;Z28;Z29;Z30;Z31;Z32;Z33;Z34;Z35;Z36;Z37
1;Bleu;0;49;-0,017843;0,109258;-0,0271;-0,010146;0,052416;-0,027706;0,039376;-0,009769;0,00746;-0,055795;0,049873;0,017873;-0,009451;-0,01015;0,002518;-0,000149;-0,000427;0,00063;0,000031;-0,000024;0,0000200;-0,0000050;-0,0000100;0,0000060;-0,0000380;-0,0000060;0,0000060;0,0000000;0,0000060;0,0000030;0,0000030;-0,0000030;-0,0000030;0,0000030;0,0000010;0,0000140;-0,0000040
1;Bleu;75;50;-0,017341;0,092022;-0,011411;-0,008193;0,069231;-0,017442;0,030744;-0,003811;0,008855;-0,065278;0,025331;0,018793;-0,004734;-0,010175;0,001259;-0,000173;-0,000615;0,000333;0,000025;-0,000014;0,0000150;-0,0000100;0,0000020;0,0000000;-0,0000230;-0,0000050;0,0000060;0,0000020;-0,0000010;0,0000020;0,0000040;0,0000020;0,0000030;0,0000040;-0,0000080;0,0000090;-0,0000070
1;Bleu;150;51;-0,017004;0,086253;-0,000002;-0,007554;0,075147;-0,000001;0,027849;0,000002;0,009291;-0,068436;-0,000001;0,01911;-0,000002;-0,010179;0,000001;-0,000164;-0,000672;-0,000002;0,000025;0;0,0000170;0,0000080;-0,0000100;0,0000030;-0,0000320;-0,0000090;-0,0000010;0,0000070;-0,0000020;0,0000030;0,0000050;0,0000000;-0,0000030;0,0000020;0,0000010;0,0000150;-0,0000090
1;Bleu;225;50;-0,017341;0,092022;-0,011411;-0,008193;0,069231;-0,017442;0,030744;-0,003811;0,008855;-0,065278;0,025331;0,018793;-0,004734;-0,010175;0,001259;-0,000173;-0,000615;0,000333;0,000025;-0,000014;0,0000150;-0,0000100;0,0000020;0,0000000;-0,0000230;-0,0000050;0,0000060;0,0000020;-0,0000010;0,0000020;0,0000040;0,0000020;0,0000030;0,0000040;-0,0000080;0,0000090;-0,0000070
1;Bleu;299;49;-0,017843;0,109258;-0,0271;-0,010146;0,052416;-0,027706;0,039376;-0,009769;0,00746;-0,055795;0,049873;0,017873;-0,009451;-0,01015;0,002518;-0,000149;-0,000427;0,00063;0,000031;-0,000024;0,0000200;-0,0000050;-0,0000100;0,0000060;-0,0000380;-0,0000060;0,0000060;0,0000000;0,0000060;0,0000030;0,0000030;-0,0000030;-0,0000030;0,0000030;0,0000010;0,0000140;-0,0000040
1;Vert;0;46;-0,012237;0,075233;-0,019178;-0,004278;0,055731;-0,030392;0,024759;-0,006312;0,00787;-0,043903;0,040813;0,014627;-0,007979;-0,008573;0,002181;-0,000175;-0,000323;0,0005;0,000021;-0,000019;0,0000170;-0,0000070;0,0000060;0,0000020;0,0000010;-0,0000030;0,0000090;0,0000020;0,0000000;0,0000020;-0,0000020;0,0000000;-0,0000040;0,0000030;0,0000040;-0,0000070;0,0000030
1;Vert;75;47;-0,011967;0,06062;-0,007727;-0,002689;0,070361;-0,018232;0,017437;-0,002221;0,009023;-0,051886;0,020744;0,015429;-0,003998;-0,008578;0,001097;-0,000143;-0,000471;0,000261;0,000025;-0,000011;0,0000090;-0,0000040;-0,0000040;-0,0000010;-0,0000280;-0,0000080;0,0000040;0,0000010;0,0000020;0,0000000;0,0000020;0,0000040;-0,0000020;-0,0000020;0,0000030;0,0000130;-0,0000080
1;Vert;150;48;-0,011729;0,055732;0,000001;-0,002204;0,075512;0;0,014988;0;0,009422;-0,05455;0,000001;0,015692;-0,000001;-0,00859;-0,000004;-0,000143;-0,000522;0;0,000026;0,000001;0,0000160;-0,0000030;0,0000060;0,0000000;-0,0000230;-0,0000060;-0,0000020;-0,0000010;0,0000030;-0,0000010;-0,0000020;-0,0000060;0,0000010;-0,0000030;-0,0000010;0,0000030;-0,0000030
1;Vert;225;47;-0,011967;0,06062;-0,007727;-0,002689;0,070361;-0,018232;0,017437;-0,002221;0,009023;-0,051886;0,020744;0,015429;-0,003998;-0,008578;0,001097;-0,000143;-0,000471;0,000261;0,000025;-0,000011;0,0000090;-0,0000040;-0,0000040;-0,0000010;-0,0000280;-0,0000080;0,0000040;0,0000010;0,0000020;0,0000000;0,0000020;0,0000040;-0,0000020;-0,0000020;0,0000030;0,0000130;-0,0000080
1;Vert;299;46;-0,012237;0,075233;-0,019178;-0,004278;0,055731;-0,030392;0,024759;-0,006312;0,00787;-0,043903;0,040813;0,014627;-0,007979;-0,008573;0,002181;-0,000175;-0,000323;0,0005;0,000021;-0,000019;0,0000170;-0,0000070;0,0000060;0,0000020;0,0000010;-0,0000030;0,0000090;0,0000020;0,0000000;0,0000020;-0,0000020;0,0000000;-0,0000040;0,0000030;0,0000040;-0,0000070;0,0000030
