Detector_ID;Band;Column;Field ID;Z1;Z2;Z3;Z4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bleu;0;49;0;0;0;-6,848550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bleu;75;50;0;0;0;-5,530275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bleu;150;51;0;0;0;-5,098950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bleu;225;50;0;0;0;-5,530275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Bleu;299;49;0;0;0;-6,848550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Vert;0;46;0;0;0;-2,887650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Vert;75;47;0;0;0;-1,815075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Vert;150;48;0;0;0;-1,487700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Vert;225;47;0;0;0;-1,815075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Vert;299;46;0;0;0;-2,887650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rouge;0;43;0;0;0;-0,280800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rouge;75;44;0;0;0;0,51300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rouge;150;45;0;0;0;0,832950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rouge;225;44;0;0;0;0,51300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Rouge;299;43;0;0;0;-0,280800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
